level,year,population,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,0,0,0,0,0,0,0,0
High-income countries,1760,165498849,0,0,10.017,0,0,0.061,0,0,10.017,0.061,0,0,0,0,106.194,0,106.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1761,0,0,0,10.974,0.956,9.546,0,0,0,10.974,0,0,0,0,0,117.167,0,117.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1762,0,0,0,10.977,0.004,0.033,0,0,0,10.977,0,0,0,0,0,128.145,0,128.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1763,0,0,0,10.981,0.004,0.033,0,0,0,10.981,0,0,0,0,0,139.126,0,139.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1764,0,0,0,10.985,0.004,0.033,0,0,0,10.985,0,0,0,0,0,150.11,0,150.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1765,0,0,0,10.988,0.004,0.033,0,0,0,10.988,0,0,0,0,0,161.099,0,161.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1766,0,0,0,12.26,1.271,11.571,0,0,0,12.26,0,0,0,0,0,173.358,0,173.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1767,0,0,0,12.263,0.004,0.03,0,0,0,12.263,0,0,0,0,0,185.622,0,185.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1768,0,0,0,12.267,0.004,0.03,0,0,0,12.267,0,0,0,0,0,197.889,0,197.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1769,0,0,0,12.271,0.004,0.03,0,0,0,12.271,0,0,0,0,0,210.16,0,210.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1770,170998378,0,0,12.274,0.004,0.03,0.072,0,0,12.274,0.072,0,0,0,0,222.434,0,222.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1771,0,0,0,13.612,1.337,10.896,0,0,0,13.612,0,0,0,0,0,236.046,0,236.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1772,0,0,0,13.615,0.004,0.027,0,0,0,13.615,0,0,0,0,0,249.661,0,249.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1773,0,0,0,13.619,0.004,0.027,0,0,0,13.619,0,0,0,0,0,263.28,0,263.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1774,0,0,0,13.623,0.004,0.027,0,0,0,13.623,0,0,0,0,0,276.903,0,276.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1775,0,0,0,13.626,0.004,0.027,0,0,0,13.626,0,0,0,0,0,290.53,0,290.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1776,0,0,0,15.037,1.411,10.352,0,0,0,15.037,0,0,0,0,0,305.567,0,305.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1777,0,0,0,15.041,0.004,0.024,0,0,0,15.041,0,0,0,0,0,320.607,0,320.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1778,0,0,0,15.044,0.004,0.024,0,0,0,15.044,0,0,0,0,0,335.652,0,335.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1779,0,0,0,15.048,0.004,0.024,0,0,0,15.048,0,0,0,0,0,350.7,0,350.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1780,177026625,0,0,15.055,0.007,0.049,0.085,0,0,15.055,0.085,0,0,0,0,365.755,0,365.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1781,0,0,0,16.843,1.788,11.876,0,0,0,16.843,0,0,0,0,0,382.599,0,382.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1782,0,0,0,16.847,0.004,0.022,0,0,0,16.847,0,0,0,0,0,399.446,0,399.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1783,0,0,0,16.854,0.007,0.043,0,0,0,16.854,0,0,0,0,0,416.3,0,416.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1784,0,0,0,16.858,0.004,0.022,0,0,0,16.858,0,0,0,0,0,433.158,0,433.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1785,0,0,0,16.869,0.011,0.065,0,0,0,16.869,0,0,0,0,0,450.027,0,450.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1786,0,0,0,19.152,2.283,13.532,0,0,0,19.152,0,0,0,0,0,469.179,0,469.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1787,0,0,0,19.159,0.007,0.038,0,0,0,19.159,0,0,0,0,0,488.338,0,488.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1788,0,0,0,19.163,0.004,0.019,0,0,0,19.163,0,0,0,0,0,507.501,0,507.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1789,0,0,0,19.17,0.007,0.038,0,0,0,19.17,0,0,0,0,0,526.671,0,526.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1790,183580486,0,0,19.177,0.007,0.038,0.104,0,0,19.177,0.104,0,0,0,0,545.848,0,545.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1791,0,0,0,21.42,2.242,11.693,0,0,0,21.42,0,0,0,0,0,567.268,0,567.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1792,0,0,0,21.896,0.476,2.224,0,0,0,21.896,0,0,0,0,0,589.164,0,589.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1793,0,0,0,21.914,0.018,0.084,0,0,0,21.914,0,0,0,0,0,611.078,0,611.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1794,0,0,0,21.881,-0.033,-0.15,0,0,0,21.881,0,0,0,0,0,632.96,0,632.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1795,0,0,0,21.892,0.011,0.05,0,0,0,21.892,0,0,0,0,0,654.852,0,654.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1796,0,0,0,22.951,1.059,4.837,0,0,0,22.951,0,0,0,0,0,677.803,0,677.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1797,0,0,0,24.094,1.143,4.981,0,0,0,24.094,0,0,0,0,0,701.898,0,701.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1798,0,0,0,25.095,1,4.151,0,0,0,25.095,0,0,0,0,0,726.993,0,726.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1799,0,0,0,26.428,1.334,5.315,0,0,0,26.428,0,0,0,0,0,753.421,0,753.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1800,187842589,0,0,28.092,1.663,6.294,0.15,0,0,28.092,0.15,0,0,0,0,781.513,0,781.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1801,188773146,0,0,27.96,-0.132,-0.47,0.148,0,0,27.96,0.148,0,0,0,0,809.473,0,809.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1802,189937959,0,0,36.783,8.823,31.555,0.194,0,0,36.783,0.194,0,0,0,0,846.256,0,846.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1803,191116374,0,0,31.488,-5.294,-14.394,0.165,0,0,31.488,0.165,0,0,0,0,877.744,0,877.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1804,192308584,0,0,34.31,2.821,8.96,0.178,0,0,34.31,0.178,0,0,0,0,912.054,0,912.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1805,193514769,0,0,33.419,-0.89,-2.595,0.173,0,0,33.419,0.173,0,0,0,0,945.473,0,945.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1806,194735133,0,0,35.046,1.627,4.868,0.18,0,0,35.046,0.18,0,0,0,0,980.519,0,980.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1807,195969873,0,0,36.874,1.828,5.217,0.188,0,0,36.874,0.188,0,0,0,0,1017.394,0,1017.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1808,197219186,0,0,35.064,-1.81,-4.909,0.178,0,0,35.064,0.178,0,0,0,0,1052.458,0,1052.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1809,198483278,0,0,35.09,0.026,0.073,0.177,0,0,35.09,0.177,0,0,0,0,1087.548,0,1087.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1810,200499150,0,0,37.38,2.29,6.526,0.186,0,0,37.38,0.186,0,0,0,0,1124.929,0,1124.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1811,201991762,0,0,39.582,2.202,5.891,0.196,0,0,39.582,0.196,0,0,0,0,1164.511,0,1164.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1812,203947641,0,0,41.007,1.425,3.601,0.201,0,0,41.007,0.201,0,0,0,0,1205.518,0,1205.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1813,206106539,0,0,41.22,0.213,0.518,0.2,0,0,41.22,0.2,0,0,0,0,1246.738,0,1246.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1814,208333145,0,0,42.129,0.909,2.204,0.202,0,0,42.129,0.202,0,0,0,0,1288.867,0,1288.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1815,210630670,0,0,43.488,1.359,3.227,0.206,0,0,43.488,0.206,0,0,0,0,1332.355,0,1332.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1816,213002503,0,0,47.665,4.177,9.605,0.224,0,0,47.665,0.224,0,0,0,0,1380.02,0,1380.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1817,215452208,0,0,49.431,1.766,3.705,0.229,0,0,49.431,0.229,0,0,0,0,1429.451,0,1429.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1818,217983547,0,0,49.644,0.213,0.43,0.228,0,0,49.644,0.228,0,0,0,0,1479.094,0,1479.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1819,220404292,0,0,49.948,0.304,0.613,0.227,0,0,49.948,0.227,0,0,0,0,1529.042,0,1529.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1820,223036556,0,0,50.688,0.74,1.482,0.227,0.135,0,50.688,0.227,0,0,0,0,1579.73,0,1579.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1821,224870450,0,0,51.435,0.747,1.475,0.229,0.22,0,51.435,0.229,0,0,0,0,1631.165,0,1631.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1822,226892411,0,0,53.465,2.03,3.946,0.236,0.227,0,53.465,0.236,0,0,0,0,1684.63,0,1684.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1823,228756763,0,0,56.55,3.085,5.77,0.247,0.234,0,56.55,0.247,0,0,0,0,1741.18,0,1741.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High-income countries,1824,230646108,0,0,58.525,1.975,3.492,0.254,0.233,0,58.525,0.254,0,0,0,0,1799.705,0,1799.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
